t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.025 1.00e+00 1.00e+00 6.22e-15
0.050 1.00e+00 1.00e+00 6.39e-14
0.075 1.01e+00 1.01e+00 2.26e-13
0.100 1.01e+00 1.01e+00 2.00e-08
0.125 1.02e+00 1.02e+00 5.08e-08
0.150 1.02e+00 1.02e+00 9.25e-08
0.175 1.03e+00 1.03e+00 1.46e-07
0.200 1.04e+00 1.04e+00 2.12e-07
0.225 1.05e+00 1.05e+00 2.90e-07
0.250 1.06e+00 1.06e+00 3.83e-07
0.275 1.08e+00 1.08e+00 4.92e-07
0.300 1.09e+00 1.09e+00 6.17e-07
0.325 1.11e+00 1.11e+00 7.61e-07
0.350 1.13e+00 1.13e+00 9.25e-07
0.375 1.15e+00 1.15e+00 1.11e-06
0.400 1.17e+00 1.17e+00 1.32e-06
0.425 1.20e+00 1.20e+00 1.56e-06
0.450 1.22e+00 1.22e+00 1.83e-06
0.475 1.25e+00 1.25e+00 2.14e-06
0.500 1.28e+00 1.28e+00 2.48e-06
0.525 1.32e+00 1.32e+00 2.87e-06
0.550 1.35e+00 1.35e+00 3.30e-06
0.575 1.39e+00 1.39e+00 3.79e-06
0.600 1.43e+00 1.43e+00 4.34e-06
0.625 1.48e+00 1.48e+00 4.96e-06
0.650 1.53e+00 1.53e+00 5.66e-06
0.675 1.58e+00 1.58e+00 6.45e-06
0.700 1.63e+00 1.63e+00 7.34e-06
0.725 1.69e+00 1.69e+00 8.34e-06
0.750 1.76e+00 1.76e+00 9.46e-06
0.775 1.82e+00 1.82e+00 1.07e-05
0.800 1.90e+00 1.90e+00 1.22e-05
0.825 1.98e+00 1.98e+00 1.38e-05
0.850 2.06e+00 2.06e+00 1.56e-05
0.875 2.15e+00 2.15e+00 1.77e-05
0.900 2.25e+00 2.25e+00 2.00e-05
0.925 2.35e+00 2.35e+00 2.26e-05
0.950 2.47e+00 2.47e+00 2.56e-05
0.975 2.59e+00 2.59e+00 2.90e-05
1.000 2.72e+00 2.72e+00 3.28e-05
