t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.025 1.00e+00 1.00e+00 6.22e-15
0.050 1.00e+00 1.00e+00 6.39e-14
0.075 1.01e+00 1.01e+00 1.33e-09
0.100 1.01e+00 1.01e+00 3.46e-09
0.125 1.02e+00 1.02e+00 6.42e-09
0.150 1.02e+00 1.02e+00 1.02e-08
0.175 1.03e+00 1.03e+00 1.50e-08
0.200 1.04e+00 1.04e+00 2.07e-08
0.225 1.05e+00 1.05e+00 2.74e-08
0.250 1.06e+00 1.06e+00 3.53e-08
0.275 1.08e+00 1.08e+00 4.45e-08
0.300 1.09e+00 1.09e+00 5.49e-08
0.325 1.11e+00 1.11e+00 6.69e-08
0.350 1.13e+00 1.13e+00 8.05e-08
0.375 1.15e+00 1.15e+00 9.60e-08
0.400 1.17e+00 1.17e+00 1.13e-07
0.425 1.20e+00 1.20e+00 1.33e-07
0.450 1.22e+00 1.22e+00 1.55e-07
0.475 1.25e+00 1.25e+00 1.81e-07
0.500 1.28e+00 1.28e+00 2.09e-07
0.525 1.32e+00 1.32e+00 2.41e-07
0.550 1.35e+00 1.35e+00 2.76e-07
0.575 1.39e+00 1.39e+00 3.17e-07
0.600 1.43e+00 1.43e+00 3.62e-07
0.625 1.48e+00 1.48e+00 4.13e-07
0.650 1.53e+00 1.53e+00 4.70e-07
0.675 1.58e+00 1.58e+00 5.35e-07
0.700 1.63e+00 1.63e+00 6.08e-07
0.725 1.69e+00 1.69e+00 6.90e-07
0.750 1.76e+00 1.76e+00 7.82e-07
0.775 1.82e+00 1.82e+00 8.87e-07
0.800 1.90e+00 1.90e+00 1.00e-06
0.825 1.98e+00 1.98e+00 1.14e-06
0.850 2.06e+00 2.06e+00 1.29e-06
0.875 2.15e+00 2.15e+00 1.46e-06
0.900 2.25e+00 2.25e+00 1.65e-06
0.925 2.35e+00 2.35e+00 1.87e-06
0.950 2.47e+00 2.47e+00 2.11e-06
0.975 2.59e+00 2.59e+00 2.39e-06
1.000 2.72e+00 2.72e+00 2.71e-06
