t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.050 1.00e+00 1.00e+00 1.63e-12
0.100 1.01e+00 1.01e+00 1.65e-11
0.150 1.02e+00 1.02e+00 6.04e-11
0.200 1.04e+00 1.04e+00 1.31e-07
0.250 1.06e+00 1.06e+00 3.14e-07
0.300 1.09e+00 1.09e+00 5.58e-07
0.350 1.13e+00 1.13e+00 8.69e-07
0.400 1.17e+00 1.17e+00 1.26e-06
0.450 1.22e+00 1.22e+00 1.75e-06
0.500 1.28e+00 1.28e+00 2.36e-06
0.550 1.35e+00 1.35e+00 3.11e-06
0.600 1.43e+00 1.43e+00 4.05e-06
0.650 1.53e+00 1.53e+00 5.20e-06
0.700 1.63e+00 1.63e+00 6.62e-06
0.750 1.76e+00 1.76e+00 8.38e-06
0.800 1.90e+00 1.90e+00 1.06e-05
0.850 2.06e+00 2.06e+00 1.33e-05
0.900 2.25e+00 2.25e+00 1.66e-05
0.950 2.47e+00 2.47e+00 2.08e-05
1.000 2.72e+00 2.72e+00 2.61e-05
